annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;13165;92;88;63;42;71;98;2000;31200;1680;2380;26;59;7.8;1900;;1470;2330;disc01_18;3;3;65;0;;23;0;3;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;1;2;6;55;3;23;1;0;9
2012;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;11433;87;79;50;44;64;96;1820;28400;1500;2170;25;60;10.1;1830;;1460;2230;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;1922;88;76;46;38;55;94;1700;26500;1410;2010;29;;9.3;1870;SD36;1480;2280;disc02_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2124;91;84;57;42;61;96;1800;28000;1500;2160;29;;8.5;1830;SD36;1450;2180;disc02_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;937;92;86;65;43;67;97;1950;30400;1600;2420;26;;8.5;1830;SD36;1450;2180;disc02_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;937;93;91;74;43;78;98;2140;33400;1800;2670;26;;8.5;1830;SD36;1450;2180;disc02_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2770;92;85;59;44;76;97;2000;31200;1640;2380;29;69;8.6;1865;SD36;1475;2280;disc02_01_30;7;12;58;;0;20;0;1;0;0;1;1;3;25;51;3;10;7;;;0;1;3;2;;6;3;18;12;5;3;21;9;2;15;;;;13;47;7;19;3;1;11
2016;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2124;94;89;62;42;78;97;1970;30700;1660;2350;29;;8.5;1830;SD36;1450;2180;disc02_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2463;90;86;61;42;74;96;1930;30200;1600;2300;29;72;9.7;1800;SD36;;;disc02_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;1729;91;82;53;38;76;95;1810;28200;1500;2230;28;;9.9;1870;SD36;1490;2280;disc02_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
