annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;867;87;79;40;55;65;95;1700;26500;1450;2020;47;80;7.8;1900;SD24;1470;2330;disc06_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;165;87;78;34;55;66;97;1700;26500;1380;2240;44;;7.8;1900;SD24;1470;2330;disc06_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_08;Littérature générale et comparée;9;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;SD20;1450;2180;disc06_08_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_08;Littérature générale et comparée;37;84;ns;ns;22;54;ns;ns;ns;ns;ns;39;;9.3;1870;SD20;1480;2280;disc06_08_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_08;Littérature générale et comparée;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD20;1480;2280;disc06_08_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_08;Littérature générale et comparée;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;SD20;1475;2280;disc06_08_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;182;89;83;58;62;52;74;1500;23400;1220;1900;37;;8.5;1830;SD17;1450;2180;disc06_09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;202;90;76;50;52;59;74;1650;25700;1360;2080;39;84;8.6;1865;SD17;1475;2280;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;220;91;86;62;62;62;82;1600;25000;1360;2100;37;82;8.5;1830;SD17;1450;2180;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;163;89;89;71;59;60;84;1720;26900;1420;2040;40;;7.8;1900;SD17;1470;2330;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;235;84;80;54;46;60;81;1520;23700;1300;1840;30;86;10.1;1830;SD17;1460;2230;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;156;88;76;51;41;44;78;1640;25600;1250;1930;33;;9.9;1870;SD17;1490;2280;disc06_09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;29;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;SD17;1470;2330;disc06_09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;156;92;82;54;41;56;80;1700;26500;1400;2030;33;;9.9;1870;SD17;1490;2280;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire langues;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_10;Pluridisciplinaire langues;103;92;80;51;49;60;85;1700;26500;1380;2060;36;;8.5;1830;SD65;1450;2180;disc06_10_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire langues;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_10;Pluridisciplinaire langues;133;86;65;39;56;57;83;1600;25000;1360;1800;31;81;8.6;1865;SD65;1475;2280;disc06_10_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire langues;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_10;Pluridisciplinaire langues;24;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;SD65;1470;2330;disc06_10_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire langues;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_10;Pluridisciplinaire langues;151;84;69;48;53;56;84;1600;25000;1400;1970;25;77;9.9;1870;SD65;1490;2280;disc06_10_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;SD67;1450;2180;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;113;80;62;42;44;58;85;1630;25400;1360;1850;39;83;8.5;1830;SD67;1450;2180;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;105;76;54;34;41;47;82;1500;23400;ns;ns;40;;8.6;1865;SD67;1475;2280;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;130;82;65;42;44;43;69;1470;23000;ns;ns;46;85;10.1;1830;SD67;1460;2230;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;120;88;69;46;44;41;89;1600;25000;1300;1850;29;83;9.7;1800;SD67;;;disc06_11_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;94;86;78;52;44;66;89;1700;26500;1350;2000;38;;8.5;1830;SD67;1450;2180;disc06_11_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;34;71;ns;ns;ns;ns;ns;ns;ns;ns;ns;43;;7.8;1900;SD67;1470;2330;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;97;82;72;45;39;52;80;1620;25300;ns;ns;39;;9.9;1870;SD67;1490;2280;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;31;70;ns;ns;ns;ns;ns;ns;ns;ns;ns;45;;9.3;1870;SD64;1480;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;126;74;55;34;43;51;68;1460;22700;ns;ns;42;;9.3;1870;SD64;1480;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;114;82;73;43;42;42;74;1490;23200;1210;1700;40;;8.5;1830;SD64;1450;2180;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;117;81;43;22;44;27;74;1400;21800;1200;1580;41;;8.6;1865;SD64;1475;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;10.1;1830;SD64;1460;2230;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;109;87;74;35;35;54;83;1610;25100;1400;1850;46;85;7.8;1900;SD64;1470;2330;disc06_12_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;;10.1;1830;SD64;1460;2230;disc06_12_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;23;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD64;1490;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;5928;83;77;52;39;45;79;1600;25000;1370;1900;33;72;9.3;1870;;1480;2280;disc07_18;5;4;35;;0;46;2;2;1;0;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;13;39;6;19;5;1;18
2014;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;1641;81;80;55;42;49;86;1680;26300;1400;2000;30;;9.3;1870;;1480;2280;disc07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;4218;88;81;57;37;58;83;1640;25500;1420;1970;34;;9.3;1870;;1480;2280;disc07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;6148;86;85;60;39;52;82;1690;26400;1450;2000;36;73;7.8;1900;;1470;2330;disc07_18;6;3;43;1;;43;1;2;2;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;1;5;15;40;6;19;3;1;10
2016;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;5860;88;87;64;40;61;86;1770;27600;1500;2100;35;70;8.5;1830;;1450;2180;disc07_30;6;4;51;;0;34;1;1;2;0;0;1;6;29;44;3;17;0;;;0;1;3;2;;8;12;5;9;4;9;14;22;7;5;;;;18;46;7;17;3;1;8
2015;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;166;68;60;37;34;37;76;1500;23400;1250;1770;36;;8.6;1865;SD27;1475;2280;disc08_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;;79;65;;38;43;85;1400;21800;1230;1770;;;10.1;1830;SD27;1460;2230;disc08_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;480;82;67;38;43;44;77;1500;23400;1300;1750;37;69;9.9;1870;SD27;1490;2280;disc08_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;148;86;69;46;41;53;81;1520;23700;1340;1800;30;;9.9;1870;SD27;1490;2280;disc08_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;148;76;68;46;41;37;84;1510;23500;1300;1770;30;;9.9;1870;SD27;1490;2280;disc08_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;529;83;63;34;37;48;84;1500;23400;1280;1800;36;70;9.3;1870;SD27;1480;2280;disc08_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;femmes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;293;84;77;50;38;53;89;1650;25700;1400;1920;43;;9.3;1870;SD28;1480;2280;disc08_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;30 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;245;84;85;53;40;49;94;1740;27200;1430;2100;35;;9.3;1870;SD28;1480;2280;disc08_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;293;83;82;55;44;59;95;1740;27200;1430;2050;35;;8.5;1830;SD28;1450;2180;disc08_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;femmes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;293;77;74;44;38;38;86;1600;25000;1300;1980;43;;9.3;1870;SD28;1480;2280;disc08_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;296;80;84;53;44;48;91;1700;26500;1440;1950;33;;8.6;1865;SD28;1475;2280;disc08_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;30 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;296;88;88;55;44;60;94;1800;28100;1510;2100;33;;8.6;1865;SD28;1475;2280;disc08_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;;77;77;;50;44;93;1730;26900;1430;2000;;;10.1;1830;SD28;1460;2230;disc08_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;456;90;92;65;42;63;96;1900;29600;1630;2300;33;48;7.8;1900;SD28;1470;2330;disc08_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;541;85;80;49;39;49;90;1650;25700;1450;2000;29;54;9.9;1870;SD28;1490;2280;disc08_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_02;Géographie;230;82;94;67;40;57;95;1820;28400;1520;2170;33;;7.8;1900;SD28;1470;2330;disc08_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;158;83;88;79;37;59;66;1650;25700;1450;2000;30;;9.3;1870;SD32;1480;2280;disc09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;femmes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;1180;88;90;80;37;47;59;1600;25000;1440;1810;37;;8.6;1865;SD32;1475;2280;disc09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;1425;90;92;83;42;59;64;1670;26000;1450;1930;35;89;10.1;1830;SD32;1460;2230;disc09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;1501;90;95;88;34;53;64;1680;26200;1500;1950;38;87;7.8;1900;SD32;1470;2330;disc09_18;10;3;40;0;;45;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;10;28;50;2;5;1;0;4
2017;MASTER LMD;30 mois après le diplôme;hommes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;187;92;95;88;33;72;74;1870;29100;1630;2280;39;;7.8;1900;SD32;1470;2330;disc09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;hommes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;;89;90;;35;46;57;1500;23400;1400;1900;;;10.1;1830;SD32;1460;2230;disc09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Psychologie>Psychologie;SHS;Sciences humaines et sociales;disc09;Psychologie;disc09;Psychologie;1486;93;94;87;38;62;68;1700;26500;1550;2000;39;85;8.5;1830;SD32;1450;2180;disc09_30;9;3;50;;0;37;0;0;0;0;0;0;9;38;25;1;26;1;;;1;0;1;0;;3;2;1;3;4;7;11;65;1;2;;;;30;57;1;6;1;1;4
